"P35_001,N,19,11","P35_002,N,19,11","P35_003,C,254","P35_004,C,254","P35_005,C,254","P35_006,C,254","P35_007,C,254","P35_008,C,254","P35_009,C,254","P35_010,C,254","P35_011,N,19,11","P35_012,N,19,11","P35_013,N,19,11","P35_014,N,19,11","P35_015,N,19,11","P35_016,N,19,11","P35_017,N,19,11","P35_018,N,19,11","P35_019,N,19,11","P35_020,N,19,11","P35_021,N,19,11","P35_022,N,19,11","P35_023,N,19,11","P35_024,N,19,11","P35_025,N,19,11","P35_026,N,19,11","P35_027,N,19,11","P35_028,N,19,11"
43.2616741,145.4383704,北海道,根室市,01223,スワン44ねむろ,https://www.michi-no-eki.jp/stations/view/59,http://www.hokkaido-michinoeki.jp/michinoeki/2143/,http://www.swan44nemuro.com/,,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1
43.4516011,141.8357178,北海道,樺戸郡浦臼町,01431,つるぬま,https://www.michi-no-eki.jp/stations/view/60,http://www.hokkaido-michinoeki.jp/michinoeki/2164/,http://www.town.urausu.hokkaido.jp/gaido_map/michinoeki.html,,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1
41.7794873,141.1016303,北海道,函館市,01202,なとわ・えさん,https://www.michi-no-eki.jp/stations/view/61,http://www.hokkaido-michinoeki.jp/michinoeki/2179/,http://www.natowaesan.com/roadside_station.htm,,2,1,1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1
42.1253109,140.6673361,北海道,茅部郡森町,01345,つど～る・プラザ・さわら,https://www.michi-no-eki.jp/stations/view/62,http://www.hokkaido-michinoeki.jp/michinoeki/2200/,http://kankou.mori.hokkaido.jp/201510/07-1619.html,,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1
44.0174537,145.1920893,北海道,目梨郡羅臼町,01694,知床・らうす,https://www.michi-no-eki.jp/stations/view/63,http://www.hokkaido-michinoeki.jp/michinoeki/2217/,http://www.nemuro.pref.hokkaido.lg.jp/ss/srk/kanko/nmrgsdb/3k-spot/3ks-shiretoko-rausu.htm,,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1
42.6333115,143.2718483,北海道,河西郡更別村,01639,さらべつ,https://www.michi-no-eki.jp/stations/view/64,http://www.hokkaido-michinoeki.jp/michinoeki/2232/,http://www.sarabetsu-pipopa.jp/michinoeki/,,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1
42.4717206,140.8771001,北海道,伊達市,01233,だて歴史の杜,https://www.michi-no-eki.jp/stations/view/65,http://www.hokkaido-michinoeki.jp/michinoeki/2253/,http://www.city.date.hokkaido.jp/hotnews/detail/00001549.html,,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1
43.7600001,142.3484462,北海道,旭川市,01204,あさひかわ,https://www.michi-no-eki.jp/stations/view/66,http://www.hokkaido-michinoeki.jp/michinoeki/2272/,http://www.asahikawa-jibasan.com,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
42.978859,142.39758,北海道,勇払郡占冠村,01463,自然体感しむかっぷ,https://www.michi-no-eki.jp/stations/view/67,http://www.hokkaido-michinoeki.jp/michinoeki/2298/,http://www.vill.shimukappu.lg.jp/shimukappu/section/kikaku/nmudtq0000002gk4.html,,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1
44.3359883,142.8680679,北海道,紋別郡西興部村,01562,にしおこっぺ花夢,https://www.michi-no-eki.jp/stations/view/68,http://www.hokkaido-michinoeki.jp/michinoeki/2325/,http://www.vill.nishiokoppe.hokkaido.jp/section/sangyou/kamu.html,,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1
43.467863,143.742367,北海道,足寄郡陸別町,01648,オーロラタウン93りくべつ,https://www.michi-no-eki.jp/stations/view/69,http://www.hokkaido-michinoeki.jp/michinoeki/2355/,https://www.rikubetsu.jp/kanko/michinoeki/,,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1
43.9339211,144.453268,北海道,斜里郡小清水町,01547,はなやか（葉菜野花）小清水,https://www.michi-no-eki.jp/stations/view/70,http://www.hokkaido-michinoeki.jp/michinoeki/2375/,http://www.town.koshimizu.hokkaido.jp/hanayaka/,,2,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1
43.6994831,142.070593,北海道,深川市,01228,ライスランドふかがわ,https://www.michi-no-eki.jp/stations/view/71,http://www.hokkaido-michinoeki.jp/michinoeki/2390/,http://mypage.fukanavi.com/riceland/,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
44.8016913,142.0673479,北海道,中川郡中川町,01471,なかがわ,https://www.michi-no-eki.jp/stations/view/72,http://www.hokkaido-michinoeki.jp/michinoeki/2424/,http://www.nakagawa-showya.com/,,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
42.7399293,140.8845626,北海道,虻田郡留寿都村,01397,230ルスツ,https://www.michi-no-eki.jp/stations/view/73,http://www.hokkaido-michinoeki.jp/michinoeki/2442/,http://www.rusutsu.gr.jp/shopping/687.html,,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1
44.8845723,141.7477551,北海道,天塩郡天塩町,01487,てしお,https://www.michi-no-eki.jp/stations/view/74,http://www.hokkaido-michinoeki.jp/michinoeki/2467/,http://www.teshiotown.hokkaido.jp/?page_id=98,,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1
42.489824,143.273259,北海道,広尾郡大樹町,01641,コスモール大樹,https://www.michi-no-eki.jp/stations/view/75,http://www.hokkaido-michinoeki.jp/michinoeki/2483/,http://taiki-sci.jp/cosmall/,,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1
43.647837,144.24901,北海道,網走郡美幌町,01543,ぐるっとパノラマ美幌峠,https://www.michi-no-eki.jp/stations/view/76,http://www.hokkaido-michinoeki.jp/michinoeki/2502/,http://www.town.bihoro.hokkaido.jp/docs/2010102500054/,,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1
42.7620988,140.4789853,北海道,磯谷郡蘭越町,01394,らんこし・ふるさとの丘,https://www.michi-no-eki.jp/stations/view/77,http://www.hokkaido-michinoeki.jp/michinoeki/2519/,http://www.town.rankoshi.hokkaido.jp/topics/2012/02/post_58.html,,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1
42.577551,140.722382,北海道,虻田郡豊浦町,01571,とようら,https://www.michi-no-eki.jp/stations/view/78,http://www.hokkaido-michinoeki.jp/michinoeki/2533/,https://toyoura-feel.com/stay/%E9%81%93%E3%81%AE%E9%A7%85%E3%81%A8%E3%82%88%E3%81%86%E3%82%89/,,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1
43.9173357,144.1884881,北海道,網走郡大空町,01564,メルヘンの丘めまんべつ,https://www.michi-no-eki.jp/stations/view/79,http://www.hokkaido-michinoeki.jp/michinoeki/2548/,http://www.town.ozora.hokkaido.jp/docs/2014112700039/,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
42.5739733,141.9254643,北海道,勇払郡むかわ町,01586,むかわ四季の館,https://www.michi-no-eki.jp/stations/view/80,http://www.hokkaido-michinoeki.jp/michinoeki/2569/,http://www.shikinoyakata.com/eki.html,,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1
43.545622,143.980525,北海道,網走郡津別町,01544,あいおい,https://www.michi-no-eki.jp/stations/view/81,http://www.hokkaido-michinoeki.jp/michinoeki/2585/,https://www.town.tsubetsu.hokkaido.jp/03shisetsu/60mininoeki/,,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1
43.0977132,142.9902764,北海道,河東郡鹿追町,01634,しかおい,https://www.michi-no-eki.jp/stations/view/82,http://www.hokkaido-michinoeki.jp/michinoeki/2605/,http://michinoeki-shikaoi.com/,,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1
43.870061,143.076278,北海道,紋別郡遠軽町,01555,しらたき,https://www.michi-no-eki.jp/stations/view/83,http://www.hokkaido-michinoeki.jp/michinoeki/2623/,,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
43.244332,143.546455,北海道,足寄郡足寄町,01647,あしょろ銀河ホール21,https://www.michi-no-eki.jp/stations/view/84,http://www.hokkaido-michinoeki.jp/michinoeki/2639/,http://www.ashoro-kanko.jp,,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1
42.833788,141.65933,北海道,千歳市,01224,サーモンパーク千歳,https://www.michi-no-eki.jp/stations/view/85,http://www.hokkaido-michinoeki.jp/michinoeki/2654/,http://salmonpark.com/,,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1
43.6973051,142.5088143,北海道,上川郡東川町,01458,ひがしかわ「道草館」,https://www.michi-no-eki.jp/stations/view/86,http://www.hokkaido-michinoeki.jp/michinoeki/2668/,,,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1
42.8972354,141.5856753,北海道,恵庭市,01231,花ロードえにわ,https://www.michi-no-eki.jp/stations/view/87,http://www.hokkaido-michinoeki.jp/michinoeki/2684/,http://www.eniwa.org/hanaroad/,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
